median_income,h3
51603.79,845d11dffffffff
58099.48,845d169ffffffff
82065.63,845d16bffffffff
36667,845d135ffffffff
0,845d161ffffffff
73860.66,845d101ffffffff
54043.38,845d10bffffffff
39021.42,845d139ffffffff
84893.57,845d145ffffffff
44959.36,845d13dffffffff
36667,845d131ffffffff
39730.12,845d13bffffffff
66878.79,845d107ffffffff
45785.22,845d115ffffffff
75138.45,845d147ffffffff
48279.41,845d103ffffffff
73482,845d10dffffffff
72363.41,845d105ffffffff
73036,84274a9ffffffff
0,842744dffffffff
58378.2,8427545ffffffff
44234.06,84276e1ffffffff
0,84274e7ffffffff
49779,842771dffffffff
64840.4,842743dffffffff
44013,842740bffffffff
0,8427719ffffffff
0,842771bffffffff
0,84274e5ffffffff
59375,8427713ffffffff
49223.77,842754bffffffff
0,8427627ffffffff
38409,8427449ffffffff
67294.79,842741dffffffff
52505,8427455ffffffff
0,842743bffffffff
0,8427433ffffffff
50407.89,8427635ffffffff
68552.91,8427419ffffffff
0,842770bffffffff
0,84274a1ffffffff
0,84274adffffffff
0,8427683ffffffff
71742.99,84275d9ffffffff
0,8427723ffffffff
62459.18,8426649ffffffff
49779,8427711ffffffff
0,8427681ffffffff
52737.63,8427715ffffffff
0,842773dffffffff
47980.04,8427459ffffffff
0,842768dffffffff
0,842763dffffffff
0,8427707ffffffff
39009,8427549ffffffff
0,8427625ffffffff
41640.58,8427687ffffffff
42249.96,8426997ffffffff
46544.83,842745dffffffff
58732.17,842754dffffffff
67434.15,84275d3ffffffff
60872.7,8427403ffffffff
49554.14,84276e3ffffffff
109481.46,842759bffffffff
38041.62,8427731ffffffff
0,8427735ffffffff
0,84275dbffffffff
58624.16,84274a3ffffffff
0,8427695ffffffff
54365.45,8427457ffffffff
54013,8427739ffffffff
0,8427621ffffffff
0,84274a7ffffffff
0,8427701ffffffff
45644.1,8427685ffffffff
0,842769dffffffff
0,8427697ffffffff
70089.93,8427569ffffffff
56500,8427451ffffffff
70163.2,842664dffffffff
0,84276ebffffffff
55863.13,84274abffffffff
0,8427703ffffffff
36131.3,8426993ffffffff
48264.69,84276b9ffffffff
58389.27,84274edffffffff
47543.83,84276e5ffffffff
0,84274a5ffffffff
53298,842772bffffffff
36908.99,8427631ffffffff
48062.7,84276bbffffffff
59948.42,8426641ffffffff
49999.63,8427415ffffffff
0,8427689ffffffff
50802.83,84274e1ffffffff
55950.23,8427401ffffffff
60286.77,8427407ffffffff
44011.42,84276b1ffffffff
0,8427623ffffffff
0,8427709ffffffff
53298,8427705ffffffff
55337,84270e1ffffffff
50629.53,8427717ffffffff
51946.91,8427417ffffffff
47472.74,8426965ffffffff
60669.19,8427439ffffffff
54939.58,842696dffffffff
42516,84276b5ffffffff
48731.26,84276e7ffffffff
46623.59,8427409ffffffff
57868.44,84274b5ffffffff
58590.31,8427727ffffffff
53415.18,84276edffffffff
47737.78,8427441ffffffff
57346.78,8427445ffffffff
0,8427757ffffffff
45794.89,84264c1ffffffff
60956.21,84274e3ffffffff
58729.6,8427453ffffffff
52005.46,842773bffffffff
50692.92,842740dffffffff
84480.5,84275d1ffffffff
36849.58,84264c7ffffffff
48704.32,8427443ffffffff
43700,84276e9ffffffff
63992.43,8427431ffffffff
66849.92,8426961ffffffff
53075.67,84276b7ffffffff
53298,8427729ffffffff
52629.87,842745bffffffff
0,8427753ffffffff
53006.52,8427721ffffffff
37489.54,84266b9ffffffff
65106.35,8427437ffffffff
49749.2,8427541ffffffff
